model,label_file,ari,n_messages
160531,labels_20250227_160531_gemma:7b-conversation_detection_prompt_thisiscere.csv,0.12192132832575608,57
143535,labels_20250131_143535_gpt4o_thisiscere.csv,0.5833638248566898,49
163722,labels_20250226_163722_mistral7b_thisiscere.csv,0.2264859384973529,28
140844,labels_20250227_140844_phi4:14b_thisiscere.csv,1.0,0
144019,labels_20250227_144019_gemma:7b_thisiscere.csv,1.0,0
131931,labels_20250227_131931_phi4:14b_thisiscere.csv,1.0,0
161112,labels_20250226_161112_mistral7b_thisiscere.csv,0.2068045363575717,29
143900,labels_20250227_143900_gemma:7b_thisiscere.csv,1.0,0
171944,labels_20250131_171944_claude35s_thisiscere.csv,0.5680705190989226,49
154811,labels_20250227_154811_gemma:7b_thisiscere.csv,1.0,0
144311,labels_20250227_144311_gemma:7b_thisiscere.csv,1.0,0
180822,labels_20250224_180822_mistral7b_thisiscere.csv,0.1927750076320342,27
160801,labels_20250227_160801_gemma:7b-conversation_detection_prompt_thisiscere.csv,0.10032102728731943,58
141519,labels_20250227_141519_gemma:7b_thisiscere.csv,1.0,0
185300,labels_20250131_185300_deepseekv3_thisiscere.csv,0.8652871839336348,67
144350,labels_20250227_144350_gemma:7b_thisiscere.csv,1.0,0
202230,labels_20250225_202230_mistral7b_thisiscere.csv,0.2194934765924789,27
161421,labels_20250226_161421_mistral7b_thisiscere.csv,0.20045558086560364,28
105050,labels_20250227_105050_mistral7b_thisiscere.csv,0.08420755515830079,28
